,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ID,initial_separation,mA,mB,spinA,spinB,q,e
0,0.0,0.0,0.0,SXS:BBH:0217,16.6,0.500002503577,0.500001389212,"[3.03245501684e-09, -4.19192995146e-09, -0.599969375919]","[-1.02795425003e-09, 4.46831562953e-09, 0.599983044885]",1.0000022287238075,0.0001926
1,1.0,1.0,1.0,SXS:BBH:0211,16.5,0.500086003739,0.500082317028,"[1.84985343883e-10, 1.37111890337e-09, -0.899685955589]","[8.674358627e-09, 1.47911538195e-09, 0.89978825606]",1.0000073722082836,0.0002801
2,2.0,2.0,2.0,SXS:BBH:0072,17.999,0.500000161204,0.500000166307,"[7.08801855261e-10, -6.66816931578e-10, 1.20945405263e-07]","[5.84178859024e-10, 1.30437880075e-09, 1.22204953013e-07]",0.9999999897940036,0.0001462
3,3.0,3.0,3.0,SXS:BBH:0001,18.0,0.500000161328,0.500000166356,"[7.09752141352e-10, -6.66051760901e-10, 1.20930921804e-07]","[5.84453420303e-10, 1.30504445113e-09, 1.22196915414e-07]",0.9999999899440032,0.0002569
4,4.0,4.0,4.0,SXS:BBH:2085,16.4991273946,0.50007764453,0.500075822454,"[1.00397783129e-09, -4.47051903232e-10, -0.899630844556]","[-8.84081518165e-11, 3.78074161123e-11, 0.899744041859]",1.0000036435994668,8.26e-05
5,5.0,5.0,5.0,SXS:BBH:2087,16.4996731142,0.500043755613,0.500040514746,"[-7.72633282254e-09, 8.09990314214e-10, -0.799757681307]","[9.06669609361e-09, -4.62738217037e-09, 0.79991875486]",1.000006481208831,4.4e-05
6,6.0,6.0,6.0,SXS:BBH:0180,18.0,0.499999985387,0.499999985116,"[-2.78241749107e-12, 1.5605388945e-12, -3.67050658542e-09]","[2.27899839037e-12, -2.35907568866e-12, -2.1572848954e-09]",1.000000000542,5.11e-05
7,7.0,0.0,,SXS:BBH:0007,18.0,0.600000088412,0.400000250978,"[-5.97535162783e-10, -4.37418262032e-10, 8.64427645114e-08]","[3.1975684812e-10, -1.5796393797e-10, 1.55363889098e-07]",1.4999992798629518,0.0004338
8,8.0,1.0,,SXS:BBH:0055,14.0,0.833333387124,0.166667122591,"[4.64774821648e-09, -1.55678148458e-10, 2.96839923684e-07]","[5.28878438349e-11, 1.75257832707e-10, 3.70835704136e-07]",4.999986645050533,0.0002565
9,0.0,,,SXS:BBH:0593,15.2801513672,0.599993291961,0.399993603298,"[6.31703373177e-08, -1.49214983711e-08, 3.19013830056e-05]","[1.58752646535e-07, -1.45643147647e-07, 9.78256321077e-05]",1.500007217650423,6.76e-05
0,,,,SXS:BBH:0063,13.0,0.888889205519,0.111111577311,"[1.26635047766e-09, -1.48897378e-10, 2.0682688609e-07]","[-9.27878134584e-11, 6.08100712406e-11, 4.29282215789e-07]",7.9999692834078795,0.000288
1,,,,SXS:BBH:0166,13.0,0.85714315334,0.142857700209,"[-2.17890253383e-10, -2.17890253383e-10, 4.5272937406e-07]","[1.41955616166e-10, 1.41955616166e-10, 4.67194783085e-07]",5.99997866468524,4.2e-05
2,,,,SXS:BBH:0168,13.1767,0.750000043391,0.250000661039,"[-2.94178356391e-10, -2.94178356391e-10, 5.13207801879e-07]","[1.47452232331e-09, 1.47452232331e-09, 6.50170356391e-07]",2.999992241116516,8.7e-05
3,,,,SXS:BBH:0169,13.8738,0.666666781212,0.33333390306,"[-2.43781551504e-10, -2.43781551504e-10, 2.49131120301e-07]","[3.81100904886e-10, 3.81100904886e-10, 5.29196403758e-07]",1.9999969252812553,1.0e-04
4,,,,SXS:BBH:0187,13.0,0.83439539688,0.165594025947,"[1.09372615961e-07, -3.19157742706e-08, 8.79811179842e-06]","[-2.34324628727e-07, -2.05045091641e-07, -1.20437265333e-05]",5.0388013221386165,4.6e-05
5,,,,SXS:BBH:0186,12.5,0.892097164641,0.107904659874,"[4.42785365279e-07, 8.0305894734e-07, 1.01733497846e-06]","[1.12044889565e-08, 2.15926421726e-08, -8.82377218943e-08]",8.267457269062334,6.7e-04
6,,,,SXS:BBH:0188,12.7,0.877861243694,0.122138692343,"[3.11420843484e-08, -2.69822394626e-08, 1.55253061236e-06]","[-5.68947604945e-09, 8.23445524209e-09, -2.44547691377e-05]",7.187413151834942,0.0001609
7,,,,SXS:BBH:0198,16.0,0.545949928095,0.454026926415,"[-2.36686567158e-10, -2.99739852254e-08, -5.04190424195e-05]","[-6.46850734358e-08, -4.82458095315e-08, 8.54380825816e-05]",1.202461564131944,0.0002044
