epochs,test_name,train_loss,test_loss,train_metric,test_metric
1,nn2_pe/,0.0028734267570422536,0.024937299587344267,5.0380908726438725e-5,0.0010168663160106432
2,nn2_pe/,0.006796170288042574,0.012043059651220966,0.0003871659076297568,0.00024242655971670952
3,nn2_pe/,0.007111700709505903,0.0015815198284956223,0.0004203480297841308,5.123189766087882e-6
4,nn2_pe/,0.0022024708272968367,0.018692469822021295,2.9020959403876443e-5,0.0005793352963472104
5,nn2_pe/,0.004684102561851683,0.008997464423357734,0.00022015971401272307,0.00015999860912881885
6,nn2_pe/,0.003906369638738015,0.011864388828422981,0.00015479844813340188,0.000264398272061286
7,nn2_pe/,0.003906346933531051,0.011864482409288933,0.00015479629544020871,0.00026440217960289945
8,nn2_pe/,0.00390632424637614,0.011864576007974425,0.00015479414275279592,0.0002644060871608316
9,nn2_pe/,0.003906301557266996,0.011864669604470903,0.00015479199007136267,0.0002644099947350944
10,nn2_pe/,0.003906301557266996,0.011864669604470903,0.00015479199007136267,0.0002644099947350944
1,nn1/,0.0028734267570422536,0.024937299587344267,5.0380908726438725e-5,0.0010168663160106432
2,nn1/,0.0065148295427954,0.012726272885052759,0.00036401902119474424,0.00028446694996666765
3,nn1/,0.006742169599854905,0.0028938672048986506,0.00039035468144064863,1.4489652904769757e-5
4,nn1/,0.00232481774139414,0.018448221203944633,3.405659409274347e-5,0.0005637193815112994
5,nn1/,0.004523775591452495,0.009610753315559117,0.00020807683819647668,0.00019161454325058883
6,nn1/,0.0038554971276405846,0.01204563523839733,0.00015093482380552784,0.0002769978047651932
7,nn1/,0.003478664022730131,0.013419657157955997,0.000118922547491099,0.0003468084249511906
8,nn1/,0.0035555124054106203,0.01317643451955142,0.00012459030824010653,0.0003296152154294433
9,nn1/,0.003698028122320971,0.012674994880163574,0.00013618696066546466,0.0003020317352485026
10,nn1/,0.003669719170553967,0.01277512522661235,0.00013389998516156803,0.0003077632045543461
11,nn1/,0.003669719170553967,0.01277512522661235,0.00013389998516156803,0.0003077632045543461
1,nn1_pe/,0.0028734267570422536,0.024937299587344267,5.0380908726438725e-5,0.0010168663160106432
2,nn1_pe/,0.006514829539157422,0.01272627288141478,0.00036401902119474424,0.00028446694996666765
3,nn1_pe/,0.006742169603492883,0.0028938672085366294,0.00039035468144064863,1.4489652904769757e-5
4,nn1_pe/,0.0023248177404846452,0.018448221203035138,3.405659409274347e-5,0.0005637193815112994
5,nn1_pe/,0.004523776023548185,0.009610751820879558,0.00020807687253178827,0.0001916144937297579
6,nn1_pe/,0.0038554975075038925,0.012045633537407553,0.00015093486522871528,0.0002769977687487608
7,nn1_pe/,0.0034786648552604872,0.013419653873758078,0.00011892262569763189,0.0003468083488797934
8,nn1_pe/,0.0035555118238731046,0.013176435823297361,0.00012459028024332618,0.0003296154219855659
9,nn1_pe/,0.003698023472408235,0.012675010910183436,0.0001361865935799401,0.00030203271704417744
10,nn1_pe/,0.0036697147979329768,0.012775140230426753,0.00013389964431099116,0.00030776414138028473
11,nn1_pe/,0.0036697147979329768,0.012775140230426753,0.00013389964431099116,0.00030776414138028473
1,nn2/,0.0028734267570422536,0.024937299587344267,5.0380908726438725e-5,0.0010168663160106432
2,nn2/,0.0065148295427954,0.012726272885052759,0.00036401902119474424,0.00028446694996666765
3,nn2/,0.006742169607130862,0.0028938672121746082,0.00039035468144064863,1.4489652904769757e-5
4,nn2/,0.0023248177195566615,0.018448221112468383,3.4056593645036036e-5,0.0005637193763637073
5,nn2/,0.004523775205755445,0.009610754342376486,0.0002080768065578606,0.00019161452817866842
6,nn2/,0.0038554967041626296,0.012045637309620036,0.00015093477206742397,0.0002769978216651202
7,nn2/,0.0034786628913108597,0.013419661358007142,0.00011892244766075127,0.0003468085676354627
8,nn2/,0.0035555096575582475,0.013176444131712232,0.0001245900832578258,0.0003296157136967328
9,nn2/,0.003698021157392098,0.012675019988827191,0.0001361863825197483,0.0003020330869493807
10,nn2/,0.0036697122743141533,0.012775149868819585,0.00013389941827434386,0.0003077645478472058
11,nn2/,0.0036697122743141533,0.012775149868819585,0.00013389941827434386,0.0003077645478472058
1,nn3_pe/,0.0028734267570422536,0.024937299587344267,5.0380908726438725e-5,0.0010168663160106432
2,nn3_pe/,0.006514825214029108,0.012726473480940265,0.00036401838653245494,0.0002844761132966464
3,nn3_pe/,0.006742165833724998,0.002893888426190366,0.0003903543814947867,1.4489906036441485e-5
4,nn3_pe/,0.0023247851630409737,0.018448250993991302,3.4055330307334874e-5,0.0005637215175898866
5,nn3_pe/,0.004523753006523544,0.009610846950375795,0.00020807505080449606,0.00019161978368819265
6,nn3_pe/,0.0038554694876765626,0.012045732950318296,0.00015093270529275516,0.0002770047437700696
7,nn3_pe/,0.003478622508108817,0.013419786141701247,0.00011891951193110832,0.00034681776038712444
8,nn3_pe/,0.003555499581542478,0.013176480094806474,0.0001245892394940622,0.0003296174510915664
9,nn3_pe/,0.003698058642803739,0.012674874985488381,0.00013618975209417036,0.0003020269504800387
10,nn3_pe/,0.0036697543607891827,0.012775004384139832,0.00013390273025436913,0.00030775566562706876
11,nn3_pe/,0.0036697543607891827,0.012775004384139832,0.00013390273025436913,0.00030775566562706876
1,nn3/,0.0028734267570422536,0.024937299587344267,5.0380908726438725e-5,0.0010168663160106432
2,nn3/,0.006514825210391129,0.012726473477302287,0.00036401838653245494,0.0002844761132966464
3,nn3/,0.006742165833724998,0.002893888426190366,0.0003903543814947867,1.4489906036441485e-5
4,nn3/,0.0023247851625862264,0.018448250993536554,3.4055330307334874e-5,0.0005637215175898866
5,nn3/,0.004523753006523544,0.009610846950375795,0.00020807505080449606,0.00019161978368819265
6,nn3/,0.0038554694876765626,0.012045732950318296,0.00015093270529275516,0.0002770047437700696
7,nn3/,0.003478622508108817,0.013419786141701247,0.00011891951193110832,0.00034681776038712444
8,nn3/,0.0035554995833614674,0.013176480096625464,0.0001245892394940622,0.0003296174510915664
9,nn3/,0.0036980586409847494,0.012674874983669392,0.00013618975209417036,0.0003020269504800387
10,nn3/,0.003669754359879688,0.012775004383230338,0.00013390273025436913,0.00030775566562706876
11,nn3/,0.003669754359879688,0.012775004383230338,0.00013390273025436913,0.00030775566562706876
1,nn3_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
2,nn3_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
3,nn3_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
1,nn3_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
2,nn3_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
3,nn3_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
1,nn1_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
2,nn1_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
3,nn1_bi/,0.007773769301771235,0.0016785326845618121,0.00011133002831722257,6.323378991181907e-5
