epochs,test_name,train_loss,test_loss,train_metric,test_metric,funcion
1,test_1/,0.17958947279792845,2.516955192747265,0.0007183578911917138,0.002013564154197812,SE
2,test_1/,0.06763079101892015,2.2709187870249226,0.0002705231640756806,0.001816735029619938,SE
3,test_1/,0.03657122031055885,2.1045209319199096,0.0001462848812422354,0.001683616745535928,SE
4,test_1/,0.009818735366097044,0.7174717658398537,3.9274941464388176e-5,0.000573977412671883,SE
5,test_1/,0.0002596251731375056,0.007359076600826244,1.0385006925500222e-6,5.887261280660995e-6,SE
6,test_1/,0.00020667328342589738,0.0012130370525305488,8.266931337035895e-7,9.70429642024439e-7,SE
7,test_1/,0.00020468296702313212,0.0012830707279603963,8.187318680925285e-7,1.026456582368317e-6,SE
8,test_1/,0.0002046729615910352,0.0012848785377778354,8.18691846364141e-7,1.0279028302222683e-6,SE
9,test_1/,0.0002046729398551188,0.0012840655984720272,8.186917594204752e-7,1.0272524787776216e-6,SE
1,test_1/,0.0003591789455958569,0.001006782077098906,0.0007183578911917138,0.002013564154197812,Huber
2,test_1/,0.00013526157759050707,0.0009083674686569248,0.00027052315518101414,0.0018167349373138496,Huber
3,test_1/,7.314252420788303e-5,0.0008418090877113501,0.00014628504841576607,0.0016836181754227002,Huber
4,test_1/,1.963675717147978e-5,0.0002869786925572882,3.927351434295956e-5,0.0005739573851145765,Huber
5,test_1/,5.192544659352281e-7,2.9437132592559312e-6,1.0385089318704561e-6,5.8874265185118624e-6,Huber
6,test_1/,4.1334732334348876e-7,4.852212915444478e-7,8.266946466869775e-7,9.704425830888955e-7,Huber
7,test_1/,4.0936591852101037e-7,5.132265283014092e-7,8.187318370420207e-7,1.0264530566028183e-6,Huber
8,test_1/,4.0934592316160386e-7,5.139517768374062e-7,8.186918463232077e-7,1.0279035536748123e-6,Huber
1,test_1/,0.0007183578911917138,0.002013564154197812,0.0007183578911917138,0.002013564154197812,MSE
2,test_1/,0.00027052315518101414,0.0018167349373138496,0.00027052315518101414,0.0018167349373138496,MSE
3,test_1/,0.00014628504841576607,0.0016836181754227002,0.00014628504841576607,0.0016836181754227002,MSE
4,test_1/,3.927351434295956e-5,0.0005739573851145765,3.927351434295956e-5,0.0005739573851145765,MSE
5,test_1/,1.0385089318704561e-6,5.8874265185118624e-6,1.0385089318704561e-6,5.8874265185118624e-6,MSE
6,test_1/,8.266946466869775e-7,9.704425830888955e-7,8.266946466869775e-7,9.704425830888955e-7,MSE
7,test_1/,8.187318370420207e-7,1.0264530566028183e-6,8.187318370420207e-7,1.0264530566028183e-6,MSE
8,test_1/,8.186918463232077e-7,1.0279035536748123e-6,8.186918463232077e-7,1.0279035536748123e-6,MSE
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,MAE
2,test_1/,0.003047198687253182,0.011513976031865825,3.522321720769507e-5,0.00046432066145120956,MAE
3,test_1/,0.0024051416770796952,0.008891006422480774,2.6549578991833525e-5,0.00037318763031461986,MAE
4,test_1/,0.002380106014457899,0.00882198676737072,2.1008026735914023e-5,0.0002953379790991141,MAE
5,test_1/,0.0005792068165944166,0.0009373189874693398,8.490828379859395e-7,1.8201256838287265e-6,MAE
6,test_1/,0.0005612554413817484,0.0006101048026383215,8.20788019090286e-7,9.361462803780613e-7,MAE
7,test_1/,0.000560826049610494,0.0006038127496600997,8.213554542784875e-7,9.291423537193431e-7,MAE
8,test_1/,0.0005605935614621656,0.0006043764499250684,8.227409727782108e-7,9.478854342367997e-7,MAE
9,test_1/,0.0005605197360637098,0.0006061194641826113,8.244581594980717e-7,9.733040338093198e-7,MAE
10,test_1/,0.0005604662669095142,0.0006058231101649202,8.237966182772503e-7,9.647761362889872e-7,MAE
11,test_1/,0.0005604439475970599,0.0006069781283313481,8.239469174043949e-7,9.696361653663862e-7,MAE
12,test_1/,0.0005604397891074207,0.0006071947794710415,8.239760304279897e-7,9.7055963028345e-7,MAE
13,test_1/,0.0005604395906190301,0.0006072059647850635,8.239773714009969e-7,9.706053769060765e-7,MAE
14,test_1/,0.0005604394970164304,0.0006072109921798936,8.239780207724887e-7,9.706265088840319e-7,MAE
15,test_1/,0.0005604394970164304,0.0006072109921798936,8.239780207724887e-7,9.706265088840319e-7,MAE
